gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,avg_monthly_value,tenure_ratio,service_density,tenure_MonthlyCharges,Churn
1,0,1,1,35,1,0,0,0,0,0,0,0,1,19.85,739.35,0,1,0,1,0,0,1,20.5375,0.04727493752954683,0,694.75,0
0,0,0,0,60,1,1,0,0,0,0,1,1,1,88.95612162663252,5288.284774890545,0,0,0,0,0,1,0,86.78203024202242,0.01143806847608668,0,5331.293430768219,1
1,0,0,1,18,1,1,1,0,0,0,0,1,0,64.8,1166.7,0,0,0,0,0,1,0,61.40526315789474,0.015414918215295025,1,1166.3999999999999,0
0,0,0,0,13,1,0,0,0,0,0,0,0,1,68.51328494152371,879.1818318176659,0,0,0,0,0,0,0,62.91458513617379,0.014864732652078905,0,887.4718759891409,1
1,0,0,0,4,1,0,1,1,0,1,0,0,1,60.4,272.15,0,0,0,0,0,0,1,54.42999999999999,0.014643968515467693,3,241.6,1
1,0,1,1,15,1,0,0,1,1,1,1,1,0,76.5,1155.6,0,0,0,0,0,0,0,72.225,0.012969047207331835,2,1147.5,0
1,0,1,1,47,1,0,0,0,0,0,0,0,0,20.05,1016.7,0,1,0,1,1,0,0,21.181250000000002,0.04618256853689692,0,942.35,0
1,1,0,0,55,1,1,0,0,1,0,1,1,1,100.15,5409.75,1,0,1,0,0,1,0,96.60267857142857,0.010164949406274547,0,5508.25,0
0,0,0,0,4,1,0,1,1,0,1,0,1,1,94.9,360.55,1,0,0,0,0,0,1,72.11,0.011063476697552206,3,379.6,0
1,0,1,0,32,1,1,0,0,1,0,0,1,1,99.14647543897432,3230.2955993838627,1,0,0,0,0,1,0,96.56950274869398,0.010067233497201733,1,3217.147177766999,1
1,0,1,1,17,1,0,0,0,1,1,1,1,0,98.6,1704.95,1,0,1,0,0,0,0,94.71944444444445,0.009965122072745391,1,1676.1999999999998,1
1,0,0,0,1,1,0,0,0,1,1,1,1,0,74.1,74.1,0,0,1,0,1,0,0,37.05,0.013315579227696406,1,74.1,0
1,0,0,0,3,1,0,0,0,0,0,0,0,0,44.6,122.7,0,0,0,0,0,1,0,30.675,0.024252223120452707,0,133.8,0
1,0,1,0,52,1,0,1,0,1,0,1,0,1,64.3,3410.6,0,0,1,0,0,0,1,64.35094339622641,0.015242115136592802,1,3343.6,0
1,0,0,0,2,0,0,0,0,0,0,0,0,1,28.835499329353688,59.17788942207543,0,0,0,0,0,0,0,18.816273501524282,0.036242858407617116,0,61.25190247681956,1
0,0,1,1,40,1,0,0,0,0,0,0,0,0,19.6,808.95,0,1,0,1,0,0,1,19.73048780487805,0.04938576455336749,0,784.0,0
1,0,0,0,43,1,1,0,0,0,0,0,0,1,25.7,1188.2,0,1,0,1,1,0,0,27.004545454545454,0.03615876219307097,0,1105.1,0
0,0,0,0,36,1,0,0,0,0,1,0,0,0,86.84762720747199,3077.357826082562,0,0,0,0,0,0,0,82.51780384154945,0.011840547882370779,1,3152.1148971353164,1
0,0,0,0,27,1,0,1,0,1,1,1,0,0,69.35,1927.3,0,0,1,0,1,0,0,68.83214285714286,0.014001970647720791,2,1872.4499999999998,0
1,0,0,1,4,1,0,0,0,0,0,0,0,1,20.4,84.75,0,1,1,0,0,0,1,16.95,0.04664723032069971,0,81.6,0
0,0,0,0,68,1,1,0,1,1,1,1,1,0,112.82686375632211,7713.156515978216,1,0,0,0,0,0,0,111.02791695130652,0.008882326609961473,2,7724.784238247938,1
1,0,0,1,2,1,1,1,0,0,0,0,0,0,80.55,188.1,1,0,0,0,1,0,0,62.699999999999996,0.010576414595452142,1,161.1,0
1,0,1,1,70,1,1,1,1,1,0,1,1,1,108.15,7930.55,1,0,1,0,1,0,0,111.69788732394366,0.008825513298157358,2,7570.5,0
0,0,0,0,18,1,0,0,0,1,1,0,0,0,55.2,1058.1,0,0,0,0,1,0,0,55.68947368421052,0.01699556226985176,1,993.6,0
1,0,0,0,62,1,1,0,0,0,0,0,0,1,25.8,1563.95,0,1,0,1,1,0,0,24.824603174603176,0.03961787916546854,0,1599.6000000000001,0
0,1,1,0,1,1,1,0,0,0,0,0,0,0,74.3,74.3,1,0,0,0,0,1,0,37.15,0.013280212483399735,0,74.3,0
1,0,0,0,37,1,1,0,0,0,0,1,1,1,105.15385524726828,4029.068289574053,1,0,0,0,0,0,0,103.55010354001547,0.009407496724327457,1,3986.4613293128295,1
1,0,0,0,11,1,0,0,0,0,0,0,0,0,20.3,246.3,0,1,0,0,0,0,0,20.525000000000002,0.04448038819247877,0,223.3,0
0,0,1,1,9,1,0,0,0,1,1,1,1,0,103.1,970.45,1,0,0,0,0,1,0,97.045,0.00926450151834886,1,927.9,0
1,0,1,0,33,1,1,0,0,0,0,1,0,0,89.42908887640445,2893.7171656736687,1,0,0,0,0,1,0,84.4245061065404,0.011511769542396954,0,2976.4321232652665,1
1,0,1,1,58,1,1,0,1,0,0,1,0,1,66.8,3970.4,0,0,0,0,0,0,0,67.2949152542373,0.01460442161454399,1,3874.3999999999996,0
0,0,0,0,14,1,0,0,0,0,0,0,0,0,19.9,283.75,0,1,0,0,0,0,1,18.916666666666668,0.04916593503072871,0,278.59999999999997,0
0,0,1,1,1,1,0,0,0,0,0,0,0,0,44.55,44.55,0,0,0,0,0,1,0,22.275,0.021953896816684963,0,44.55,0
0,0,0,0,3,1,0,0,0,0,0,0,0,0,45.23463416397538,140.73089442650252,0,0,0,0,0,0,0,35.18272360662563,0.021172127492483588,0,135.70390249192613,1
0,0,0,0,10,1,0,0,0,0,0,0,0,0,20.0,185.4,0,1,0,0,0,1,0,16.854545454545455,0.0536480686695279,0,200.0,0
1,1,0,0,57,1,1,1,0,1,1,0,1,0,101.3,5779.6,1,0,0,1,1,0,0,99.64827586206897,0.009860568107116907,2,5774.099999999999,0
1,0,1,1,30,1,0,0,0,0,0,0,0,0,19.55,608.5,0,1,1,0,0,0,0,19.629032258064516,0.04922067268252666,0,586.5,0
1,0,0,0,25,1,0,0,0,0,0,0,0,0,19.8,475.2,0,1,0,1,1,0,0,18.276923076923076,0.05249895002099958,0,495.0,0
0,0,0,0,16,1,1,0,0,0,0,0,1,1,85.97409209420702,1451.1632565881607,1,0,0,0,0,0,0,81.30936012242533,0.01160625046824994,0,1448.5955653267597,1
0,0,1,0,11,0,0,0,0,0,0,0,0,0,20.105019557011985,231.74223037715393,0,0,1,0,0,0,0,18.251606706534456,0.050794748465352674,0,236.13165003950047,1
1,0,0,0,47,1,1,0,0,0,0,0,0,1,90.88077698120661,4366.033627805155,1,0,0,0,0,1,0,91.47123300979162,0.01079476375935858,0,4248.710952229762,1
1,0,0,0,7,1,0,0,0,0,0,1,1,1,66.85,458.1,0,0,0,0,0,1,0,57.2625,0.015247222827270746,0,467.94999999999993,0
0,0,0,0,31,1,1,0,0,0,0,0,0,1,70.6718578856815,2082.8670945413373,0,0,0,0,0,0,0,65.19207497903332,0.01506439445669525,2,2185.6780630275584,1
1,1,0,0,66,1,1,0,1,1,0,1,1,0,108.1,7238.6,1,0,1,0,0,0,0,108.03880597014926,0.009116525774904691,1,7134.599999999999,0
0,0,0,0,31,1,0,0,0,1,1,0,0,1,55.25,1715.65,0,0,0,0,0,1,0,53.6140625,0.018058427751725743,1,1712.75,1
0,1,1,1,52,1,1,0,1,1,0,1,1,1,80.85,4079.55,0,0,1,0,0,1,0,76.97264150943397,0.012743380181593166,1,4204.2,0
1,1,0,0,2,1,0,0,0,0,0,0,1,1,79.6,195.05,1,0,0,0,0,1,0,65.01666666666667,0.0102014792144861,0,159.2,1
1,0,0,0,52,1,1,0,0,0,1,1,1,1,110.85241647217177,5915.100823110484,1,0,0,0,1,0,0,111.11498654546295,0.008833873416436159,2,5790.94419962917,1
1,0,0,0,60,1,1,0,1,1,0,1,1,1,105.63844838555343,6397.940844202345,1,0,0,0,0,0,0,104.58897592460565,0.009403773604044081,1,6356.510895498687,1
0,0,0,0,3,1,0,0,0,0,0,0,1,0,54.65,189.1,0,0,0,0,0,0,1,47.275,0.015781167806417674,0,163.95,0
0,1,0,0,15,1,0,0,0,0,0,0,0,0,73.48276206415974,1158.5557356735121,1,0,0,0,0,0,0,69.99290721768249,0.01341867146381609,0,1142.659011168456,1
1,0,0,1,35,1,1,0,0,0,0,0,0,0,50.15,1655.35,0,0,0,0,0,0,1,45.981944444444444,0.021130799649832464,0,1755.25,0
1,0,0,0,2,1,0,0,1,0,0,1,0,1,87.15,183.75,1,0,0,0,0,0,0,61.25,0.010825439783491205,1,174.3,1
0,0,1,1,5,1,0,0,0,0,0,0,0,0,19.45,86.05,0,1,0,0,0,0,1,14.341666666666667,0.05743825387708214,0,97.25,0
0,0,0,0,18,1,0,0,0,0,0,0,0,0,20.05,358.5,0,1,0,0,0,0,1,18.86842105263158,0.05006954102920723,0,360.90000000000003,0
0,1,1,1,10,0,0,0,0,0,0,0,1,1,34.55,362.6,0,0,0,0,0,0,0,32.96363636363637,0.0275027502750275,0,345.5,0
0,0,0,0,3,0,0,0,1,0,0,0,0,1,29.6,79.45,0,0,0,0,0,1,0,19.8625,0.03729024238657551,1,88.80000000000001,1
0,0,1,0,33,1,0,0,0,0,0,1,1,1,93.95355180623613,3120.3431332454647,1,0,0,0,0,1,0,91.77479803663131,0.010572438719289035,0,3100.4672096057925,1
1,0,1,1,33,1,1,0,1,1,1,0,0,0,88.6,2888.7,1,0,0,0,1,0,0,84.96176470588235,0.011419870574800152,2,2923.7999999999997,0
1,0,1,1,56,1,1,0,0,1,0,1,1,1,99.8,5515.45,1,0,1,0,1,0,0,96.76228070175438,0.01015145609948427,0,5588.8,0
0,0,1,1,50,1,1,1,0,1,0,1,1,0,105.95,5341.8,1,0,0,0,1,0,0,104.74117647058824,0.009358388859773902,1,5297.5,1
0,0,1,1,6,1,0,0,0,0,0,0,0,0,19.85,138.85,0,1,0,0,1,0,0,19.835714285714285,0.04290311047550947,0,119.10000000000001,0
1,0,1,0,57,0,0,1,1,1,0,1,1,1,58.75,3437.45,0,0,0,0,0,0,0,59.266379310344824,0.016577236836365222,2,3348.75,0
0,0,1,0,47,1,1,0,0,0,0,1,1,1,95.2,4563.0,1,0,1,0,1,0,0,95.0625,0.010297984224364592,0,4474.400000000001,0
1,1,0,0,1,1,1,0,0,0,0,0,0,1,74.2,74.2,1,0,0,0,0,1,0,37.1,0.013297872340425532,0,74.2,1
1,0,0,0,7,1,0,0,0,0,0,0,0,1,69.9,497.3,1,0,0,0,0,0,1,62.1625,0.014047762392133253,0,489.30000000000007,0
1,0,1,0,49,0,0,1,0,0,0,1,0,0,40.65,2070.75,0,0,0,0,0,0,0,41.415,0.023651502353083144,1,1991.85,0
0,1,1,0,70,1,1,0,1,1,0,1,1,1,102.95,7101.5,1,0,0,0,0,1,0,100.02112676056338,0.009855684618092221,1,7206.5,1
0,0,0,0,19,0,0,0,0,0,0,0,0,1,25.15,468.35,0,0,0,0,0,0,0,23.4175,0.0404815169915841,0,477.84999999999997,0
1,0,0,0,11,1,1,0,0,0,0,0,0,0,25.2,245.15,0,1,1,0,0,1,0,20.429166666666667,0.0446881982530977,0,277.2,0
0,1,0,0,52,1,1,0,0,0,0,0,0,1,72.95,3829.75,1,0,0,0,0,0,0,72.25943396226415,0.013574365333159304,0,3793.4,0
0,1,0,0,51,1,1,0,1,0,0,0,0,1,79.6,3974.7,1,0,1,0,0,0,0,76.43653846153846,0.01282792967276203,1,4059.6,0
0,0,0,0,57,1,0,0,0,1,0,1,1,0,103.73660966379438,6117.2310410084865,1,0,0,0,0,0,0,104.68058282301698,0.009430127112407084,1,5959.804931092831,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,74.94239408891389,74.94239408891389,1,0,0,0,0,0,1,37.47119704445694,0.013168155136554765,0,74.94239408891389,1
0,1,0,0,2,1,0,0,0,1,0,0,0,0,49.95,107.1,0,0,0,0,0,0,1,35.699999999999996,0.018501387604070305,0,99.9,0
0,0,0,0,2,1,0,0,0,0,0,1,1,1,92.11324974994447,167.88440136185233,1,0,0,0,0,1,0,55.96146712061744,0.011842470318563019,0,184.22649949988894,1
0,0,1,0,5,1,1,0,1,0,0,0,0,1,81.3,416.3,1,0,0,0,0,1,0,69.38333333333334,0.011981787682722261,1,406.5,1
1,0,0,0,1,1,0,0,0,0,0,0,0,1,73.4547636930058,73.4547636930058,1,0,0,0,0,0,0,36.7273818465029,0.01343113475599489,1,73.4547636930058,1
